ID,NAME,PARENTNAME,DATEADDED,DATEEDITED
"0d570440-ed1e-4f8b-9760-2d201da4fe7a","Absorb Admin Training","","2018-06-14 9:16:57 AM","2018-08-30 1:26:35 PM",
"9b0b9138-c337-4731-b38c-379962964fde","Fulfillment","","2019-02-19 12:52:25 PM","2019-02-19 12:52:25 PM",
"67f9c5c4-bc11-46c6-93cd-9576266bfb81","Post Production","","2019-02-21 3:11:59 PM","2019-02-21 3:11:59 PM",
"330c3334-9ec1-4708-a6b5-b3b69ee3fd6d","Distribution","","2019-02-15 2:27:21 PM","2019-02-15 2:27:21 PM",
"cb1f27c5-5d21-4eaa-90c3-dcc88af5c38d","Digital","","2019-02-15 2:27:32 PM","2019-02-15 2:27:32 PM",
"1aaaa6c0-872f-4b40-8073-e5fbeed8e0f4","Content Management","","2019-02-21 5:32:08 PM","2019-02-21 5:32:08 PM",
"364a4d63-bd01-4382-86ad-835059762476","MCO RESPONSIBILITIES ","1. On-Air Processes","2019-04-16 11:51:15 AM","2019-04-16 11:51:15 AM",
"3a8d80c2-83b8-462d-a479-83ee1cbbf545","SNELL","1. On-Air Processes","2019-04-16 11:42:53 AM","2019-04-16 11:43:19 AM",
"0b0e5ffa-fd00-40ee-b7e0-116c6964a81c","ROUTERS & PANELS","2. On-AIr Equipment & Systems ","2019-04-18 4:44:41 PM","2019-04-18 4:44:41 PM",
"af27c514-da94-4645-8f17-e25cdafff785","RTS","2. On-AIr Equipment & Systems ","2019-04-16 12:20:16 PM","2019-04-16 12:20:16 PM",
"f4cd34ce-14f4-4ac1-a042-f806b541502b","iControl","2. On-AIr Equipment & Systems ","2019-04-16 12:00:54 PM","2019-04-16 12:08:18 PM",
"44256ca8-d800-4674-8440-032d1f7bf2e1","NBC SPECIAL REPORT ","3. NBC","2019-04-16 12:35:30 PM","2019-04-16 12:35:30 PM",
"184d0620-1a57-4844-8945-25e8e8084af1","NBC SECTIONALS ","3. NBC","2019-04-16 12:37:34 PM","2019-04-16 12:37:34 PM",
"40dbbcf6-4328-403b-b810-32b5b15c1c0e","NBC SHOW / EVENT SPECIFIC SOPs","3. NBC","2019-04-16 12:29:01 PM","2019-04-16 12:29:01 PM",
"2ea83875-1792-4bc8-96c3-82d1bf20077a","NBC (GENERAL SOPs) ","3. NBC","2019-04-16 4:44:06 PM","2019-04-16 4:44:06 PM",
"5f9b6a4f-f0fa-47a1-b459-8b0c999a9115","NBC GRAPHICS ","3. NBC","2019-04-16 12:33:55 PM","2019-04-16 12:33:55 PM",
"4e16ec10-a7b4-4c1d-b37c-e55ac92a7096","30R Post Ops","30R Post Operations","2018-08-10 11:56:12 AM","2019-04-30 1:13:14 PM",
"8b882a43-f08d-4ca8-afd2-2bd211975923","SAN","30R Post Ops","2018-08-10 11:56:36 AM","2019-04-29 8:55:33 AM",
"75e5e8f2-2c06-4fc8-a939-2f2cb8c72f0e","Archive Restore","30R Post Ops","2018-08-10 1:46:12 PM","2019-04-29 8:55:33 AM",
"bfa23515-30a9-45d2-9968-4082e692c25d","Transcoding","30R Post Ops","2018-08-10 1:45:17 PM","2019-04-29 8:55:33 AM",
"08d7f0b6-2732-40b9-a647-49ac7c7b9c1c","Drive Ingest","30R Post Ops","2018-08-10 11:56:25 AM","2019-04-29 8:55:33 AM",
"9ceb8737-c85f-481f-9665-d72814cd6479","Media Management","30R Post Ops","2018-08-10 1:45:59 PM","2019-04-29 8:55:33 AM",
"64e8a51e-d2fc-48c6-91ad-e26c48b08d26","Dailies","30R Post Ops","2018-08-10 1:45:43 PM","2019-04-29 8:55:33 AM",
"d787db23-9d9a-4060-88fc-f175651430ee","Outputs","30R Post Ops","2018-08-10 11:56:51 AM","2019-04-29 8:55:33 AM",
"14a61dac-bbbb-4295-af23-00f3d9ce4c37","TELEMUNDO (GENERAL SOPs)","4. Telemundo","2019-04-16 12:50:48 PM","2019-04-16 12:50:48 PM",
"1898ce91-94d1-4667-9600-0917316bc92b","TELEMUNDO GRAPHICS","4. Telemundo","2019-04-16 12:47:07 PM","2019-04-16 12:47:07 PM",
"e4b37e3b-4b7d-4c44-bdf9-9229a510ceff","TELEMUNDO SPECIAL REPORT","4. Telemundo","2019-04-16 12:46:38 PM","2019-04-16 12:46:38 PM",
