ID,NAME,PARENTNAME,#OFUSERS,#OFLEARNERS,#OFADMINS,DATEADDED,DATEEDITED
"724e3fbf-466a-44e6-a18d-021adeb08b8a","101 MUST DELETE-DC QC Operations","Global Media Operations ","0","0","0","2016-11-07 4:18:34 PM","2019-04-10 12:01:52 PM",
"7aaf473c-2f64-4f6a-a54d-3cb462f32776","102 MUST DELETE: DC Program Operations International","Global Media Operations ","0","0","0","2018-06-20 5:02:46 PM","2019-04-10 1:17:50 PM",
"c0857774-b32d-4d78-8410-2699db3eeeb3","30R BOC Managers","Global Media Operations ","1","1","1","2018-06-22 11:10:48 AM","2019-02-15 4:45:51 PM",
"a5feda2c-6228-4edd-8623-2011ca5920d7","30R Post Operations","Global Media Operations ","2","2","1","2018-07-16 12:17:30 PM","2019-01-24 4:42:23 PM",
"7de8af16-ef09-4bee-afee-e56c86d4455d","30R Tech Ops","Global Media Operations ","0","0","1","2018-06-22 11:13:28 AM","2019-02-15 4:46:17 PM",
"aa621bce-4ed6-4cfe-8caa-b2a09e8eebb2","30R TOC","Global Media Operations ","0","0","1","2018-06-22 11:14:20 AM","2019-02-15 4:46:05 PM",
"82ee5975-7e21-47e5-8aec-706c9cf05e2a","3OR On-Air Scheduling","Global Media Operations ","11","11","1","2018-06-22 11:54:14 AM","2019-02-15 4:46:31 PM",
"e2120544-0f9a-4b94-8691-54860a01ccb8","DC Business Continuity","DC On-Air Operations","37","37","5","2018-07-20 9:48:53 AM","2019-02-15 4:38:05 PM",
"22ac89a2-0105-4166-b986-dc2008b75e0a","DC Business Continuity MCO","DC Business Continuity","23","23","5","2018-07-23 1:20:59 PM","2019-02-15 4:35:57 PM",
"8eb6c763-398c-4c3e-9665-4aa9c63ac3ad","DC Business Continuity TMs","DC Business Continuity","13","13","6","2018-07-23 1:20:31 PM","2019-02-15 4:36:14 PM",
"9235d711-5a8d-4f69-b6d3-26b8c66958e2","DC GMO Intern","Global Media Operations ","0","0","0","2018-06-14 9:09:35 AM","2019-02-15 4:38:49 PM",
"e9ae2a1c-d2c5-4c25-867e-b70081972607","DC HUB MCO","DC HUB Operations","31","31","11","2017-07-21 5:55:40 PM","2019-02-15 4:34:20 PM",
"8427aeb9-7220-4b82-9bd6-1e1b6a96ef28","DC HUB Operations","DC On-Air Operations","46","46","7","2018-02-23 2:32:57 PM","2019-02-15 4:35:30 PM",
"e99c18cd-151b-4aee-bf18-9e9d5e079f9d","DC HUB TMs","DC HUB Operations","15","15","10","2017-10-05 4:07:16 PM","2019-02-15 4:39:32 PM",
"ccef1d27-0d9d-4e17-86fe-1f4373864b82","DC Manpower Scheduling","DC On-Air Operations","2","2","4","2019-03-06 11:13:01 AM","2019-03-06 11:13:01 AM",
"d94abe86-6780-4155-be56-09d2e1693522","DC On Air Engineering","Global Media Operations ","1","1","0","2017-07-21 5:30:21 PM","2019-02-15 4:44:22 PM",
"d4d55c3f-6df9-4768-9b98-73de793f2824","DC On-Air Operations","Global Media Operations ","110","110","3","2018-08-08 1:17:56 PM","2019-02-19 2:04:34 PM",
"02c95579-f077-4ec4-a4ad-0fa782683696","DC On-Air Schedulers","DC On-Air Scheduling","3","3","4","2018-06-18 6:08:18 PM","2018-08-08 1:19:40 PM",
"73fcb337-de62-484e-a6f7-a477d2821fdd","DC On-Air Scheduling","DC On-Air Operations","5","5","4","2018-04-06 6:32:02 PM","2019-02-15 4:44:56 PM",
"eee57038-174d-4ccb-ac1c-9624130ce0ce","DC Post Editorial","Global Media Operations ","16","16","3","2017-07-24 1:19:52 PM","2019-02-15 9:25:31 AM",
"66f84acd-a262-48c0-96e9-b2a4888bf813","DC Product Team","Global Media Operations ","0","0","0","2017-07-24 1:48:43 PM","2019-02-15 4:45:11 PM",
"9d425913-7837-4d07-b521-d1177ca308c5","DC Program Operations","Global Media Operations ","29","29","2","2018-06-20 4:41:38 PM","2019-04-10 11:18:31 AM",
"49d0d6df-9306-4651-af7d-7e04b405c6f6","DC Program Operations E!, Dream Works, TLMD Int'l","DC Program Operations","6","6","3","2017-07-26 11:31:21 AM","2019-04-10 11:26:07 AM",
"56c2130a-3f30-4581-9b1e-400e5ae165fa","DC Program Operations International Brands","DC Program Operations","8","8","3","2017-07-26 11:30:56 AM","2019-04-10 11:26:30 AM",
"fe68a7cd-53d5-4a64-8460-32259db23ed6","DC Program Operations Studio Fulfillment","DC Program Operations VOD/Studio","10","10","3","2017-07-28 12:50:37 PM","2019-04-10 1:16:13 PM",
